Label,County,City/Town,Zip,Closest DropBox,LocationAddress,Instructions,,
McHenry County - ALGONQUIN,McHenry,ALGONQUIN,60102,MI-GEN,"667 Ware Road, Woodstock IL 60098","The dropbox is located inside the McHenry County Administration Building. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at the McHenry County Administration Building, 667 Ware Road, Woodstock, IL 60098.",,
McHenry County - ALGONQUIN,McHenry,ALGONQUIN,60156,MI-GEN,"667 Ware Road, Woodstock IL 60098","The dropbox is located inside the McHenry County Administration Building. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at the McHenry County Administration Building, 667 Ware Road, Woodstock, IL 60098.",,
Kane County - ALGONQUIN,Kane,ALGONQUIN,60102,KI-GE,"719 S. Batavia Avenue, Building B, Geneva IL 60134",The dropbox is located inside the Kane County Clerk’s Office. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://www.kanecountyclerk.org/Elections,,
Cook County - BARRINGTON,Cook,BARRINGTON,60010,CI-BA,"112 Algonquin Road, Barrington IL 60010",The dropbox is located inside the Barrington Hills Village Hall. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://cookcountyclerk.com/service/mail-ballot-drop-box-locations,,
Lake County - BARRINGTON,Lake,BARRINGTON,60011,LI-LB,"23860 N. Old Barrington Road, Lake Barrington IL 60010",The dropbox is located inside the Lake Barrington Village Hall. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://www.lakecountyil.gov/DocumentCenter/View/36233/Drop-Box-Locations-all,,
Cook County - BARRINGTON HILLS,Cook,BARRINGTON HILLS,60010,CI-BA,"112 Algonquin Road, Barrington IL 60010",The dropbox is located inside the Barrington Hills Village Hall. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://cookcountyclerk.com/service/mail-ballot-drop-box-locations,,
Lake County - BARRINGTON HILLS,Lake,BARRINGTON HILLS,60010,LI-LB,"23860 N. Old Barrington Road, Lake Barrington IL 60010",The dropbox is located inside the Lake Barrington Village Hall. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://www.lakecountyil.gov/DocumentCenter/View/36233/Drop-Box-Locations-all,,
Cook County - BARTLETT,Cook,BARTLETT,60103,CI-ST,"351 East Irving Park Road, Streamwood IL 60107",The dropbox is located inside the Streamwood Village Hall - Rear Garage . This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://cookcountyclerk.com/service/mail-ballot-drop-box-locations,,
DuPage County - BARTLETT,DuPage,BARTLETT,60103,DI-BA,"700 S. Bartlett Road, Bartlett IL 60103",The dropbox is located inside the Bartlett Community Center. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://www.dupageco.org/Election/Voting/EarlyVoting/,,
Kane County - BARTLETT,Kane,BARTLETT,60103,KI-GE,"719 S. Batavia Avenue, Building B, Geneva IL 60134",The dropbox is located inside the Kane County Clerk’s Office. This location is open Mon–Fri 8:30 AM–7:00 PM and Sat-Sun 9:00 AM–5:00 PM. Additional information is available at https://www.kanecountyclerk.org/Elections,,
